"time_s","r","v_in_m_s","sensor_surface_c_avg_pM","sensor_surface_c_avg_mol_m3","sensor_area_m2","flux_integral_sensor_mol_s","source"
"2000","0.5","1E-07","3.28368845420334","3.28368845420334E-09","2.82743338823081E-09","9.28441037196255E-25","M2B sensor exposure flux proxy"
"4000","0.5","1E-07","5.44418838087873","5.44418838087873E-09","2.82743338823081E-09","1.53930799999148E-24","M2B sensor exposure flux proxy"
"6000","0.5","1E-07","6.8656874049988","6.8656874049988E-09","2.82743338823081E-09","1.94122738020494E-24","M2B sensor exposure flux proxy"
"0","0.75","1E-07","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.75","1E-07","0.206553946278494","2.06553946278494E-10","2.82743338823081E-09","5.84017524178647E-26","M2B sensor exposure flux proxy"
"500","0.75","1E-07","0.989273487478987","9.89273487478987E-10","2.82743338823081E-09","2.79710488858962E-25","M2B sensor exposure flux proxy"
"1000","0.75","1E-07","1.87660301318413","1.87660301318413E-09","2.82743338823081E-09","5.30597001593137E-25","M2B sensor exposure flux proxy"
"2000","0.75","1E-07","3.38636864417121","3.38636864417121E-09","2.82743338823081E-09","9.57473176938759E-25","M2B sensor exposure flux proxy"
"4000","0.75","1E-07","5.57820680977722","5.57820680977722E-09","2.82743338823081E-09","1.57720081804206E-24","M2B sensor exposure flux proxy"
"6000","0.75","1E-07","6.99688122151802","6.99688122151802E-09","2.82743338823081E-09","1.97832155792053E-24","M2B sensor exposure flux proxy"
"0","1","1E-07","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","1","1E-07","0.212028130556788","2.12028130556788E-10","2.82743338823081E-09","5.99495415580423E-26","M2B sensor exposure flux proxy"
"500","1","1E-07","1.0143344693956","1.0143344693956E-09","2.82743338823081E-09","2.86796314560252E-25","M2B sensor exposure flux proxy"
"1000","1","1E-07","1.92149452047828","1.92149452047828E-09","2.82743338823081E-09","5.43289776250286E-25","M2B sensor exposure flux proxy"
"2000","1","1E-07","3.45839100009948","3.45839100009948E-09","2.82743338823081E-09","9.77837018323822E-25","M2B sensor exposure flux proxy"
"4000","1","1E-07","5.67089988461885","5.67089988461885E-09","2.82743338823081E-09","1.60340916750856E-24","M2B sensor exposure flux proxy"
"6000","1","1E-07","7.08635451769426","7.08635451769426E-09","2.82743338823081E-09","2.0036195364169E-24","M2B sensor exposure flux proxy"
"0","0.1","5E-07","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.1","5E-07","0.304735899418459","3.04735899418459E-10","2.82743338823081E-09","4.30810228304149E-25","M2B sensor exposure flux proxy"
"500","0.1","5E-07","1.42996840637543","1.42996840637543E-09","2.82743338823081E-09","2.02157020815055E-24","M2B sensor exposure flux proxy"
"1000","0.1","5E-07","2.64693580824754","2.64693580824754E-09","2.82743338823081E-09","3.74201734037141E-24","M2B sensor exposure flux proxy"
"2000","0.1","5E-07","4.56405191097602","4.56405191097602E-09","2.82743338823081E-09","6.45227637935612E-24","M2B sensor exposure flux proxy"
"4000","0.1","5E-07","6.9582527963183","6.9582527963183E-09","2.82743338823081E-09","9.83699814003039E-24","M2B sensor exposure flux proxy"
"6000","0.1","5E-07","8.21419773103486","8.21419773103486E-09","2.82743338823081E-09","1.16125484611289E-23","M2B sensor exposure flux proxy"
"0","0.25","5E-07","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.25","5E-07","0.336806934025248","3.36806934025248E-10","2.82743338823081E-09","4.76149585325319E-25","M2B sensor exposure flux proxy"
"500","0.25","5E-07","1.56994264998736","1.56994264998736E-09","2.82743338823081E-09","2.21945413309091E-24","M2B sensor exposure flux proxy"
"1000","0.25","5E-07","2.88314364119875","2.88314364119875E-09","2.82743338823081E-09","4.07594829709535E-24","M2B sensor exposure flux proxy"
"2000","0.25","5E-07","4.90040006825325","4.90040006825325E-09","2.82743338823081E-09","6.9277773843339E-24","M2B sensor exposure flux proxy"
"4000","0.25","5E-07","7.29935005015895","7.29935005015895E-09","2.82743338823081E-09","1.03192130221018E-23","M2B sensor exposure flux proxy"
"6000","0.25","5E-07","8.47373600549519","8.47373600549519E-09","2.82743338823081E-09","1.19794620524954E-23","M2B sensor exposure flux proxy"
"0","0.5","5E-07","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.5","5E-07","0.376421384137697","3.76421384137698E-10","2.82743338823081E-09","5.32153194777491E-25","M2B sensor exposure flux proxy"
"500","0.5","5E-07","1.74018477045137","1.74018477045137E-09","2.82743338823081E-09","2.4601282608325E-24","M2B sensor exposure flux proxy"
"1000","0.5","5E-07","3.16492755805786","3.16492755805786E-09","2.82743338823081E-09","4.47431092449231E-24","M2B sensor exposure flux proxy"
"2000","0.5","5E-07","5.28644194447467","5.28644194447467E-09","2.82743338823081E-09","7.47353122937576E-24","M2B sensor exposure flux proxy"
"4000","0.5","5E-07","7.66179342725131","7.66179342725131E-09","2.82743338823081E-09","1.08316052749689E-23","M2B sensor exposure flux proxy"
"6000","0.5","5E-07","8.72910764842164","8.72910764842164E-09","2.82743338823081E-09","1.23404852073042E-23","M2B sensor exposure flux proxy"
"0","0.75","5E-07","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.75","5E-07","0.405001911257384","4.05001911257384E-10","2.82743338823081E-09","5.72557963093211E-25","M2B sensor exposure flux proxy"
"500","0.75","5E-07","1.86120603415449","1.86120603415449E-09","2.82743338823081E-09","2.63121804167253E-24","M2B sensor exposure flux proxy"
"1000","0.75","5E-07","3.36156957856178","3.36156957856178E-09","2.82743338823081E-09","4.75230703164328E-24","M2B sensor exposure flux proxy"
"2000","0.75","5E-07","5.54604019550772","5.54604019550772E-09","2.82743338823081E-09","7.84052961062434E-24","M2B sensor exposure flux proxy"
"4000","0.75","5E-07","7.88806353162093","7.88806353162093E-09","2.82743338823081E-09","1.11514870988954E-23","M2B sensor exposure flux proxy"
"6000","0.75","5E-07","8.87707066347362","8.87707066347362E-09","2.82743338823081E-09","1.25496629917948E-23","M2B sensor exposure flux proxy"
"0","1","5E-07","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","1","5E-07","0.426594851824472","4.26594851824472E-10","2.82743338823081E-09","6.03084263647944E-25","M2B sensor exposure flux proxy"
"500","1","5E-07","1.95164668902277","1.95164668902277E-09","2.82743338823081E-09","2.75907550528655E-24","M2B sensor exposure flux proxy"
