"time_s","r","v_in_m_s","c0_pM","cortex_avg_pM","cortex_avg_mol_m3","source"
"0","0.75","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.75","5E-07","10","1.42596080839559","1.42596080839559E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.75","5E-07","10","5.36630630768825","5.36630630768825E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.75","5E-07","10","7.85288827658303","7.85288827658303E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.75","5E-07","10","9.53899112471654","9.53899112471654E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.75","5E-07","10","9.97874708169099","9.97874708169099E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.75","5E-07","10","9.99902022160339","9.99902022160339E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","1","5E-07","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","1","5E-07","10","1.42596080839559","1.42596080839559E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","1","5E-07","10","5.36630630768825","5.36630630768825E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","1","5E-07","10","7.85288827658303","7.85288827658303E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","1","5E-07","10","9.53899112471654","9.53899112471654E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","1","5E-07","10","9.97874708169099","9.97874708169099E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","1","5E-07","10","9.99902022160339","9.99902022160339E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.1","1E-06","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.1","1E-06","10","1.83722752018676","1.83722752018676E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.1","1E-06","10","6.3759977545566","6.3759977545566E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.1","1E-06","10","8.68666077250212","8.68666077250212E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.1","1E-06","10","9.82751400735153","9.82751400735153E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.1","1E-06","10","9.99702485823401","9.99702485823401E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.1","1E-06","10","9.99994868297192","9.99994868297192E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.25","1E-06","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.25","1E-06","10","1.83722752018676","1.83722752018676E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.25","1E-06","10","6.3759977545566","6.3759977545566E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.25","1E-06","10","8.68666077250212","8.68666077250212E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.25","1E-06","10","9.82751400735153","9.82751400735153E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.25","1E-06","10","9.99702485823401","9.99702485823401E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.25","1E-06","10","9.99994868297192","9.99994868297192E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","0.5","1E-06","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.5","1E-06","10","1.83722752018676","1.83722752018676E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.5","1E-06","10","6.3759977545566","6.3759977545566E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.5","1E-06","10","8.68666077250212","8.68666077250212E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.5","1E-06","10","9.82751400735153","9.82751400735153E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.5","1E-06","10","9.99702485823401","9.99702485823401E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.5","1E-06","10","9.99994868297192","9.99994868297192E-09","M2B prescribed-velocity convection-diffusion postprocessing"
