"time_s","concentration_pM","theta","free_fraction","kobs_per_s"
"0","10","0","1","0.0002"
"100","10","0.00990066334662237","0.990099336653378","0.0002"
"500","10","0.0475812909820202","0.95241870901798","0.0002"
"1000","10","0.0906346234610091","0.909365376538991","0.0002"
"2000","10","0.16483997698218","0.83516002301782","0.0002"
"4000","10","0.275335517941389","0.724664482058611","0.0002"
"6000","10","0.349402894043899","0.650597105956101","0.0002"
