"placement","transport_case","v_in_m_s","concentration_pM","sensor_surface_c_avg_1000s_pM","sensor_surface_c_avg_6000s_pM","time_to_10_percent_sensor_exposure_s","time_to_50_percent_sensor_exposure_s","AUC_sensor_concentration_0_6000s_pM_s","N_bound_6000s","alpha_reference","DeltaIds_6000s_A","DeltaIds_6000s_pA","scientific_conclusion"
"sensor_subcapsular_or_cortical","diffusion_only","0","10","2.4316769565666","7.9830934503461","377.001909376089","2510.61210058887","30127.2344575515","88.7556069271346","0.03","5.33258098331788E-10","533.258098331788","sensor placement changes exposure timing and current response"
"sensor_subcapsular_or_cortical","directional_flow","5E-07","10","7.1349520313981","9.99446915629852","84.288412526261","554.517744447956","51364.73057571","99.9398837277976","0.03","6.00455049425078E-10","600.455049425078","sensor placement changes exposure timing and current response"
"sensor_cortex_medulla_transition","diffusion_only","0","10","1.12047281441867","4.97937718000608","886.033839342862","6037.71598249567","16721.5593150321","66.4615176699797","0.03","3.99311590016324E-10","399.311590016324","sensor placement changes exposure timing and current response"
"sensor_cortex_medulla_transition","directional_flow","5E-07","10","3.16492755805786","8.72910764842164","275.002238035821","1839.26698744685","35233.2415809172","93.1840859531965","0.03","5.59865119405721E-10","559.865119405721","sensor placement changes exposure timing and current response"
"sensor_medulla_or_hilum_side","diffusion_only","0","10","0.868393362473109","4.08204662718774","1161.04438246542","8082.60005198628","13417.9831181637","57.9563690527425","0.03","3.48211276079193E-10","348.211276079193","sensor placement changes exposure timing and current response"
"sensor_medulla_or_hilum_side","directional_flow","5E-07","10","4.88285924968201","9.6436328715022","156.06446307893","1034.96137825589","44112.2707979671","98.1539645440781","0.03","5.89724956976199E-10","589.724956976199","sensor placement changes exposure timing and current response"
