"v_in_m_s","sensor_surface_c_avg_1000s_pM","sensor_surface_c_avg_6000s_pM","time_to_10_percent_sensor_exposure_s","time_to_50_percent_sensor_exposure_s","AUC_sensor_concentration_0_6000s_pM_s","flux_to_sensor_mol_s","diffusion_like_reference","source"
"0","1.12047281441867","4.97937718000608","886.033839342862","6037.71598249567","16721.5593150321","1.1263085833075E-24","yes","M2B velocity sweep verification summary"
"1E-07","1.81304996550974","6.8656874049988","525.530925428977","3514.85023877517","24518.3609995407","1.94122738020494E-24","no","M2B velocity sweep verification summary"
"5E-07","3.16492755805786","8.72910764842164","275.002238035821","1839.26698744685","35233.2415809172","1.23404852073042E-23","no","M2B velocity sweep verification summary"
"1E-06","3.78776775447973","9.12717373621639","219.213326606331","1466.14019476784","38785.8072171515","2.58064757619616E-23","no","M2B velocity sweep verification summary"
