concentration_pM,Kd_pM,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,required_alpha0_for_detection
0.5,1.0,1.0,0.8,0.5,60.748659453509866,0.0004606787719052115
0.5,1.0,1.0,0.8,1.0,60.748659453509866,0.0008606612532867523
0.5,1.0,1.0,0.8,2.0,60.748659453509866,0.0030040029441696977
0.5,1.0,1.0,0.8,5.0,60.748659453509866,0.12773345551746976
0.5,1.0,1.0,0.8,10.0,60.748659453509866,66.16756809725253
0.5,1.0,1.0,3.0,0.5,60.748659453509866,0.0002913040769666022
0.5,1.0,1.0,3.0,1.0,60.748659453509866,0.0003441351046347111
0.5,1.0,1.0,3.0,2.0,60.748659453509866,0.00048027922793650427
0.5,1.0,1.0,3.0,5.0,60.748659453509866,0.0013055342978861393
0.5,1.0,1.0,3.0,10.0,60.748659453509866,0.006912138350705541
0.5,1.0,1.0,9.6,0.5,60.748659453509866,0.0002597668054129107
0.5,1.0,1.0,9.6,1.0,60.748659453509866,0.0002736548551532482
0.5,1.0,1.0,9.6,2.0,60.748659453509866,0.00030369816391075815
0.5,1.0,1.0,9.6,5.0,60.748659453509866,0.0004151061730980429
0.5,1.0,1.0,9.6,10.0,60.748659453509866,0.0006988021532670719
0.5,1.0,5.0,0.8,0.5,60.748659453509866,0.0023033938595260575
0.5,1.0,5.0,0.8,1.0,60.748659453509866,0.004303306266433762
0.5,1.0,5.0,0.8,2.0,60.748659453509866,0.015020014720848488
0.5,1.0,5.0,0.8,5.0,60.748659453509866,0.6386672775873488
0.5,1.0,5.0,0.8,10.0,60.748659453509866,330.8378404862626
0.5,1.0,5.0,3.0,0.5,60.748659453509866,0.0014565203848330107
0.5,1.0,5.0,3.0,1.0,60.748659453509866,0.0017206755231735551
0.5,1.0,5.0,3.0,2.0,60.748659453509866,0.0024013961396825213
0.5,1.0,5.0,3.0,5.0,60.748659453509866,0.006527671489430696
0.5,1.0,5.0,3.0,10.0,60.748659453509866,0.0345606917535277
0.5,1.0,5.0,9.6,0.5,60.748659453509866,0.0012988340270645533
0.5,1.0,5.0,9.6,1.0,60.748659453509866,0.001368274275766241
0.5,1.0,5.0,9.6,2.0,60.748659453509866,0.0015184908195537907
0.5,1.0,5.0,9.6,5.0,60.748659453509866,0.002075530865490214
0.5,1.0,5.0,9.6,10.0,60.748659453509866,0.003494010766335359
0.5,1.0,10.0,0.8,0.5,60.748659453509866,0.004606787719052115
0.5,1.0,10.0,0.8,1.0,60.748659453509866,0.008606612532867524
0.5,1.0,10.0,0.8,2.0,60.748659453509866,0.030040029441696977
0.5,1.0,10.0,0.8,5.0,60.748659453509866,1.2773345551746975
0.5,1.0,10.0,0.8,10.0,60.748659453509866,661.6756809725252
0.5,1.0,10.0,3.0,0.5,60.748659453509866,0.0029130407696660214
0.5,1.0,10.0,3.0,1.0,60.748659453509866,0.0034413510463471102
0.5,1.0,10.0,3.0,2.0,60.748659453509866,0.0048027922793650426
0.5,1.0,10.0,3.0,5.0,60.748659453509866,0.013055342978861392
0.5,1.0,10.0,3.0,10.0,60.748659453509866,0.0691213835070554
0.5,1.0,10.0,9.6,0.5,60.748659453509866,0.0025976680541291066
0.5,1.0,10.0,9.6,1.0,60.748659453509866,0.002736548551532482
0.5,1.0,10.0,9.6,2.0,60.748659453509866,0.0030369816391075813
0.5,1.0,10.0,9.6,5.0,60.748659453509866,0.004151061730980428
0.5,1.0,10.0,9.6,10.0,60.748659453509866,0.006988021532670718
0.5,1.0,50.0,0.8,0.5,60.748659453509866,0.023033938595260577
0.5,1.0,50.0,0.8,1.0,60.748659453509866,0.04303306266433762
0.5,1.0,50.0,0.8,2.0,60.748659453509866,0.15020014720848487
0.5,1.0,50.0,0.8,5.0,60.748659453509866,6.386672775873487
0.5,1.0,50.0,0.8,10.0,60.748659453509866,3308.378404862626
0.5,1.0,50.0,3.0,0.5,60.748659453509866,0.014565203848330108
0.5,1.0,50.0,3.0,1.0,60.748659453509866,0.01720675523173555
0.5,1.0,50.0,3.0,2.0,60.748659453509866,0.024013961396825212
0.5,1.0,50.0,3.0,5.0,60.748659453509866,0.06527671489430696
0.5,1.0,50.0,3.0,10.0,60.748659453509866,0.345606917535277
0.5,1.0,50.0,9.6,0.5,60.748659453509866,0.012988340270645535
0.5,1.0,50.0,9.6,1.0,60.748659453509866,0.01368274275766241
0.5,1.0,50.0,9.6,2.0,60.748659453509866,0.015184908195537906
0.5,1.0,50.0,9.6,5.0,60.748659453509866,0.020755308654902143
0.5,1.0,50.0,9.6,10.0,60.748659453509866,0.03494010766335359
0.5,1.0,100.0,0.8,0.5,60.748659453509866,0.046067877190521155
0.5,1.0,100.0,0.8,1.0,60.748659453509866,0.08606612532867523
0.5,1.0,100.0,0.8,2.0,60.748659453509866,0.30040029441696975
0.5,1.0,100.0,0.8,5.0,60.748659453509866,12.773345551746974
0.5,1.0,100.0,0.8,10.0,60.748659453509866,6616.756809725252
0.5,1.0,100.0,3.0,0.5,60.748659453509866,0.029130407696660216
0.5,1.0,100.0,3.0,1.0,60.748659453509866,0.0344135104634711
0.5,1.0,100.0,3.0,2.0,60.748659453509866,0.048027922793650424
0.5,1.0,100.0,3.0,5.0,60.748659453509866,0.13055342978861392
0.5,1.0,100.0,3.0,10.0,60.748659453509866,0.691213835070554
0.5,1.0,100.0,9.6,0.5,60.748659453509866,0.02597668054129107
0.5,1.0,100.0,9.6,1.0,60.748659453509866,0.02736548551532482
0.5,1.0,100.0,9.6,2.0,60.748659453509866,0.03036981639107581
0.5,1.0,100.0,9.6,5.0,60.748659453509866,0.041510617309804286
0.5,1.0,100.0,9.6,10.0,60.748659453509866,0.06988021532670718
0.5,10.0,1.0,0.8,0.5,8.361338754328685,0.0033470259553163807
0.5,10.0,1.0,0.8,1.0,8.361338754328685,0.00625306771044055
0.5,10.0,1.0,0.8,2.0,8.361338754328685,0.021825350845668216
0.5,10.0,1.0,0.8,5.0,8.361338754328685,0.9280375329887979
0.5,10.0,1.0,0.8,10.0,8.361338754328685,480.7353438617668
0.5,10.0,1.0,3.0,0.5,8.361338754328685,0.002116447220835504
0.5,10.0,1.0,3.0,1.0,8.361338754328685,0.00250028696261458
0.5,10.0,1.0,3.0,2.0,8.361338754328685,0.0034894315513056672
0.5,10.0,1.0,3.0,5.0,8.361338754328685,0.009485258377565852
0.5,10.0,1.0,3.0,10.0,8.361338754328685,0.0502196061061599
0.5,10.0,1.0,9.6,0.5,8.361338754328685,0.0018873156157182937
0.5,10.0,1.0,9.6,1.0,8.361338754328685,0.0019882181660081494
0.5,10.0,1.0,9.6,2.0,8.361338754328685,0.002206495500080013
0.5,10.0,1.0,9.6,5.0,8.361338754328685,0.0030159217665386116
0.5,10.0,1.0,9.6,10.0,8.361338754328685,0.0050770929490476175
0.5,10.0,5.0,0.8,0.5,8.361338754328685,0.0167351297765819
0.5,10.0,5.0,0.8,1.0,8.361338754328685,0.03126533855220275
0.5,10.0,5.0,0.8,2.0,8.361338754328685,0.10912675422834107
0.5,10.0,5.0,0.8,5.0,8.361338754328685,4.640187664943989
0.5,10.0,5.0,0.8,10.0,8.361338754328685,2403.676719308834
0.5,10.0,5.0,3.0,0.5,8.361338754328685,0.010582236104177519
0.5,10.0,5.0,3.0,1.0,8.361338754328685,0.012501434813072901
0.5,10.0,5.0,3.0,2.0,8.361338754328685,0.017447157756528334
0.5,10.0,5.0,3.0,5.0,8.361338754328685,0.04742629188782926
0.5,10.0,5.0,3.0,10.0,8.361338754328685,0.2510980305307995
0.5,10.0,5.0,9.6,0.5,8.361338754328685,0.009436578078591468
0.5,10.0,5.0,9.6,1.0,8.361338754328685,0.009941090830040748
0.5,10.0,5.0,9.6,2.0,8.361338754328685,0.011032477500400066
0.5,10.0,5.0,9.6,5.0,8.361338754328685,0.015079608832693058
0.5,10.0,5.0,9.6,10.0,8.361338754328685,0.025385464745238083
0.5,10.0,10.0,0.8,0.5,8.361338754328685,0.0334702595531638
0.5,10.0,10.0,0.8,1.0,8.361338754328685,0.0625306771044055
0.5,10.0,10.0,0.8,2.0,8.361338754328685,0.21825350845668215
0.5,10.0,10.0,0.8,5.0,8.361338754328685,9.280375329887978
0.5,10.0,10.0,0.8,10.0,8.361338754328685,4807.353438617668
0.5,10.0,10.0,3.0,0.5,8.361338754328685,0.021164472208355038
0.5,10.0,10.0,3.0,1.0,8.361338754328685,0.025002869626145802
0.5,10.0,10.0,3.0,2.0,8.361338754328685,0.03489431551305667
0.5,10.0,10.0,3.0,5.0,8.361338754328685,0.09485258377565851
0.5,10.0,10.0,3.0,10.0,8.361338754328685,0.502196061061599
0.5,10.0,10.0,9.6,0.5,8.361338754328685,0.018873156157182935
0.5,10.0,10.0,9.6,1.0,8.361338754328685,0.019882181660081495
0.5,10.0,10.0,9.6,2.0,8.361338754328685,0.02206495500080013
0.5,10.0,10.0,9.6,5.0,8.361338754328685,0.030159217665386116
0.5,10.0,10.0,9.6,10.0,8.361338754328685,0.050770929490476166
0.5,10.0,50.0,0.8,0.5,8.361338754328685,0.16735129776581903
0.5,10.0,50.0,0.8,1.0,8.361338754328685,0.3126533855220275
0.5,10.0,50.0,0.8,2.0,8.361338754328685,1.0912675422834106
0.5,10.0,50.0,0.8,5.0,8.361338754328685,46.40187664943989
0.5,10.0,50.0,0.8,10.0,8.361338754328685,24036.76719308834
0.5,10.0,50.0,3.0,0.5,8.361338754328685,0.10582236104177518
0.5,10.0,50.0,3.0,1.0,8.361338754328685,0.125014348130729
0.5,10.0,50.0,3.0,2.0,8.361338754328685,0.17447157756528336
0.5,10.0,50.0,3.0,5.0,8.361338754328685,0.4742629188782926
0.5,10.0,50.0,3.0,10.0,8.361338754328685,2.510980305307995
0.5,10.0,50.0,9.6,0.5,8.361338754328685,0.09436578078591468
0.5,10.0,50.0,9.6,1.0,8.361338754328685,0.09941090830040747
0.5,10.0,50.0,9.6,2.0,8.361338754328685,0.11032477500400065
0.5,10.0,50.0,9.6,5.0,8.361338754328685,0.1507960883269306
0.5,10.0,50.0,9.6,10.0,8.361338754328685,0.25385464745238084
0.5,10.0,100.0,0.8,0.5,8.361338754328685,0.33470259553163806
0.5,10.0,100.0,0.8,1.0,8.361338754328685,0.625306771044055
0.5,10.0,100.0,0.8,2.0,8.361338754328685,2.182535084566821
0.5,10.0,100.0,0.8,5.0,8.361338754328685,92.80375329887978
0.5,10.0,100.0,0.8,10.0,8.361338754328685,48073.53438617668
0.5,10.0,100.0,3.0,0.5,8.361338754328685,0.21164472208355037
0.5,10.0,100.0,3.0,1.0,8.361338754328685,0.250028696261458
0.5,10.0,100.0,3.0,2.0,8.361338754328685,0.34894315513056673
0.5,10.0,100.0,3.0,5.0,8.361338754328685,0.9485258377565852
0.5,10.0,100.0,3.0,10.0,8.361338754328685,5.02196061061599
0.5,10.0,100.0,9.6,0.5,8.361338754328685,0.18873156157182935
0.5,10.0,100.0,9.6,1.0,8.361338754328685,0.19882181660081494
0.5,10.0,100.0,9.6,2.0,8.361338754328685,0.2206495500080013
0.5,10.0,100.0,9.6,5.0,8.361338754328685,0.3015921766538612
0.5,10.0,100.0,9.6,10.0,8.361338754328685,0.5077092949047617
0.5,100.0,1.0,0.8,0.5,0.8688353099937532,0.03221049778942807
0.5,100.0,1.0,0.8,1.0,0.8688353099937532,0.06017713228197853
0.5,100.0,1.0,0.8,2.0,0.8688353099937532,0.21003882986065336
0.5,100.0,1.0,0.8,5.0,0.8688353099937532,8.931078307702078
0.5,100.0,1.0,0.8,10.0,0.8688353099937532,4626.41310150691
0.5,100.0,1.0,3.0,0.5,0.8688353099937532,0.020367878659524524
0.5,100.0,1.0,3.0,1.0,0.8688353099937532,0.02406180554241327
0.5,100.0,1.0,3.0,2.0,0.8688353099937532,0.0335809547849973
0.5,100.0,1.0,3.0,5.0,0.8688353099937532,0.09128249917436297
0.5,100.0,1.0,3.0,10.0,0.8688353099937532,0.4832942836607035
0.5,100.0,1.0,9.6,0.5,0.8688353099937532,0.018162803718772123
0.5,100.0,1.0,9.6,1.0,0.8688353099937532,0.019133851274557166
0.5,100.0,1.0,9.6,2.0,0.8688353099937532,0.021234468861772566
0.5,100.0,1.0,9.6,5.0,0.8688353099937532,0.029024077700944298
0.5,100.0,1.0,9.6,10.0,0.8688353099937532,0.048860000906853066
0.5,100.0,5.0,0.8,0.5,0.8688353099937532,0.16105248894714033
0.5,100.0,5.0,0.8,1.0,0.8688353099937532,0.30088566140989265
0.5,100.0,5.0,0.8,2.0,0.8688353099937532,1.0501941493032667
0.5,100.0,5.0,0.8,5.0,0.8688353099937532,44.655391538510386
0.5,100.0,5.0,0.8,10.0,0.8688353099937532,23132.065507534546
0.5,100.0,5.0,3.0,0.5,0.8688353099937532,0.10183939329762261
0.5,100.0,5.0,3.0,1.0,0.8688353099937532,0.12030902771206635
0.5,100.0,5.0,3.0,2.0,0.8688353099937532,0.16790477392498648
0.5,100.0,5.0,3.0,5.0,0.8688353099937532,0.4564124958718148
0.5,100.0,5.0,3.0,10.0,0.8688353099937532,2.416471418303517
0.5,100.0,5.0,9.6,0.5,0.8688353099937532,0.09081401859386061
0.5,100.0,5.0,9.6,1.0,0.8688353099937532,0.09566925637278582
0.5,100.0,5.0,9.6,2.0,0.8688353099937532,0.10617234430886281
0.5,100.0,5.0,9.6,5.0,0.8688353099937532,0.14512038850472148
0.5,100.0,5.0,9.6,10.0,0.8688353099937532,0.2443000045342653
0.5,100.0,10.0,0.8,0.5,0.8688353099937532,0.32210497789428066
0.5,100.0,10.0,0.8,1.0,0.8688353099937532,0.6017713228197853
0.5,100.0,10.0,0.8,2.0,0.8688353099937532,2.1003882986065334
0.5,100.0,10.0,0.8,5.0,0.8688353099937532,89.31078307702077
0.5,100.0,10.0,0.8,10.0,0.8688353099937532,46264.13101506909
0.5,100.0,10.0,3.0,0.5,0.8688353099937532,0.20367878659524521
0.5,100.0,10.0,3.0,1.0,0.8688353099937532,0.2406180554241327
