concentration_pM,Kd_pM,alpha0,lambda_D_nm,effective_charge_distance_nm,maximum_allowed_noise_floor_pA
0.5,100.0,0.03,3.0,0.5,1.4729074392816681
0.5,100.0,0.03,3.0,1.0,1.2467892298073637
0.5,100.0,0.03,3.0,2.0,0.8933635208431555
0.5,100.0,0.03,3.0,5.0,0.3286500728107323
0.5,100.0,0.03,3.0,10.0,0.06207398062473564
0.5,100.0,0.03,9.6,0.5,1.6517273689960967
0.5,100.0,0.03,9.6,1.0,1.5679018076142293
0.5,100.0,0.03,9.6,2.0,1.4127972870565941
0.5,100.0,0.03,9.6,5.0,1.0336245757440192
0.5,100.0,0.03,9.6,10.0,0.613999169938456
0.5,100.0,0.1,0.8,0.5,3.1045779128822217
0.5,100.0,0.1,0.8,1.0,1.661760808597843
0.5,100.0,0.1,0.8,2.0,0.4761024428975503
0.5,100.0,0.1,0.8,5.0,0.011196856253489677
0.5,100.0,0.1,0.8,10.0,2.1615017467296234e-05
0.5,100.0,0.1,3.0,0.5,4.909691464272229
0.5,100.0,0.1,3.0,1.0,4.15596409935788
0.5,100.0,0.1,3.0,2.0,2.977878402810519
0.5,100.0,0.1,3.0,5.0,1.095500242702441
0.5,100.0,0.1,3.0,10.0,0.20691326874911883
0.5,100.0,0.1,9.6,0.5,5.505757896653656
0.5,100.0,0.1,9.6,1.0,5.226339358714099
0.5,100.0,0.1,9.6,2.0,4.709324290188648
0.5,100.0,0.1,9.6,5.0,3.4454152524800636
0.5,100.0,0.1,9.6,10.0,2.046663899794854
1.0,1.0,0.01,0.8,0.5,33.29713373234017
1.0,1.0,0.01,0.8,1.0,17.82267136716025
1.0,1.0,0.01,0.8,2.0,5.106280839554175
1.0,1.0,0.01,0.8,5.0,0.1200882150540439
1.0,1.0,0.01,0.8,10.0,0.00023182479146328174
1.0,1.0,0.01,3.0,0.5,52.657287997849416
1.0,1.0,0.01,3.0,1.0,44.5734319724814
1.0,1.0,0.01,3.0,2.0,31.938259628013736
1.0,1.0,0.01,3.0,5.0,11.749429103942129
1.0,1.0,0.01,3.0,10.0,2.219180505004264
1.0,1.0,0.01,9.6,0.5,59.05020332138127
1.0,1.0,0.01,9.6,1.0,56.0533912953526
1.0,1.0,0.01,9.6,2.0,50.50831548749671
1.0,1.0,0.01,9.6,5.0,36.95267300242031
1.0,1.0,0.01,9.6,10.0,21.950823425576385
1.0,1.0,0.03,0.8,0.5,99.8914011970205
1.0,1.0,0.03,0.8,1.0,53.46801410148076
1.0,1.0,0.03,0.8,2.0,15.318842518662525
1.0,1.0,0.03,0.8,5.0,0.36026464516213175
1.0,1.0,0.03,0.8,10.0,0.0006954743743898452
1.0,1.0,0.03,3.0,0.5,157.97186399354823
1.0,1.0,0.03,3.0,1.0,133.7202959174442
1.0,1.0,0.03,3.0,2.0,95.81477888404119
1.0,1.0,0.03,3.0,5.0,35.24828731182639
1.0,1.0,0.03,3.0,10.0,6.65754151501279
1.0,1.0,0.03,9.6,0.5,177.1506099641438
1.0,1.0,0.03,9.6,1.0,168.16017388605778
1.0,1.0,0.03,9.6,2.0,151.5249464624901
1.0,1.0,0.03,9.6,5.0,110.85801900726094
1.0,1.0,0.03,9.6,10.0,65.85247027672915
1.0,1.0,0.1,0.8,0.5,332.97133732340166
1.0,1.0,0.1,0.8,1.0,178.22671367160257
1.0,1.0,0.1,0.8,2.0,51.062808395541765
1.0,1.0,0.1,0.8,5.0,1.2008821505404392
1.0,1.0,0.1,0.8,10.0,0.0023182479146328172
1.0,1.0,0.1,3.0,0.5,526.5728799784943
1.0,1.0,0.1,3.0,1.0,445.734319724814
1.0,1.0,0.1,3.0,2.0,319.38259628013736
1.0,1.0,0.1,3.0,5.0,117.49429103942128
1.0,1.0,0.1,3.0,10.0,22.191805050042635
1.0,1.0,0.1,9.6,0.5,590.5020332138128
1.0,1.0,0.1,9.6,1.0,560.533912953526
1.0,1.0,0.1,9.6,2.0,505.0831548749672
1.0,1.0,0.1,9.6,5.0,369.52673002420306
1.0,1.0,0.1,9.6,10.0,219.50823425576385
1.0,10.0,0.01,0.8,0.5,5.735590179525797
1.0,10.0,0.01,0.8,1.0,3.070040192892469
1.0,10.0,0.01,0.8,2.0,0.8795812418172759
1.0,10.0,0.01,0.8,5.0,0.020685768104771587
1.0,10.0,0.01,0.8,10.0,3.9932926598903525e-05
1.0,10.0,0.01,3.0,0.5,9.070469138536877
1.0,10.0,0.01,3.0,1.0,7.677986361955778
1.0,10.0,0.01,3.0,2.0,5.501517630499854
1.0,10.0,0.01,3.0,5.0,2.0238952315031233
1.0,10.0,0.01,3.0,10.0,0.38226443193021925
1.0,10.0,0.01,9.6,0.5,10.171679310047104
1.0,10.0,0.01,9.6,1.0,9.655464137757955
1.0,10.0,0.01,9.6,2.0,8.700298368718379
1.0,10.0,0.01,9.6,5.0,6.365274263053338
1.0,10.0,0.01,9.6,10.0,3.781134084522063
1.0,10.0,0.03,0.8,0.5,17.20677053857739
1.0,10.0,0.03,0.8,1.0,9.210120578677408
1.0,10.0,0.03,0.8,2.0,2.6387437254518273
1.0,10.0,0.03,0.8,5.0,0.062057304314314755
1.0,10.0,0.03,0.8,10.0,0.00011979877979671056
1.0,10.0,0.03,3.0,0.5,27.211407415610626
1.0,10.0,0.03,3.0,1.0,23.033959085867334
1.0,10.0,0.03,3.0,2.0,16.504552891499557
1.0,10.0,0.03,3.0,5.0,6.0716856945093705
1.0,10.0,0.03,3.0,10.0,1.1467932957906575
1.0,10.0,0.03,9.6,0.5,30.515037930141315
1.0,10.0,0.03,9.6,1.0,28.966392413273862
1.0,10.0,0.03,9.6,2.0,26.100895106155132
1.0,10.0,0.03,9.6,5.0,19.095822789160014
1.0,10.0,0.03,9.6,10.0,11.343402253566188
1.0,10.0,0.1,0.8,0.5,57.35590179525798
1.0,10.0,0.1,0.8,1.0,30.700401928924702
1.0,10.0,0.1,0.8,2.0,8.79581241817276
1.0,10.0,0.1,0.8,5.0,0.20685768104771585
1.0,10.0,0.1,0.8,10.0,0.00039932926598903524
1.0,10.0,0.1,3.0,0.5,90.70469138536879
1.0,10.0,0.1,3.0,1.0,76.77986361955777
1.0,10.0,0.1,3.0,2.0,55.01517630499853
1.0,10.0,0.1,3.0,5.0,20.238952315031234
1.0,10.0,0.1,3.0,10.0,3.8226443193021917
1.0,10.0,0.1,9.6,0.5,101.71679310047105
1.0,10.0,0.1,9.6,1.0,96.55464137757956
1.0,10.0,0.1,9.6,2.0,87.00298368718379
1.0,10.0,0.1,9.6,5.0,63.652742630533375
1.0,10.0,0.1,9.6,10.0,37.81134084522063
1.0,100.0,0.01,0.8,0.5,0.6182290144384793
1.0,100.0,0.01,0.8,1.0,0.3309141454202278
1.0,100.0,0.01,0.8,2.0,0.09480849001178579
1.0,100.0,0.01,0.8,5.0,0.002229681973089156
1.0,100.0,0.01,0.8,10.0,4.304298787422321e-06
1.0,100.0,0.01,3.0,0.5,0.9776896571218969
1.0,100.0,0.01,3.0,1.0,0.8275964273682562
1.0,100.0,0.01,3.0,2.0,0.5929987527283624
1.0,100.0,0.01,3.0,5.0,0.21815204976907224
1.0,100.0,0.01,3.0,10.0,0.04120359991038331
1.0,100.0,0.01,9.6,0.5,1.0963871333559263
1.0,100.0,0.01,9.6,1.0,1.040745222547561
1.0,100.0,0.01,9.6,2.0,0.9377896114359716
1.0,100.0,0.01,9.6,5.0,0.6861015363903551
1.0,100.0,0.01,9.6,10.0,0.40756168508662227
1.0,100.0,0.03,0.8,0.5,1.8546870433154374
1.0,100.0,0.03,0.8,1.0,0.9927424362606834
1.0,100.0,0.03,0.8,2.0,0.28442547003535734
1.0,100.0,0.03,0.8,5.0,0.006689045919267467
