concentration_pM,Kd_pM,alpha0,lambda_D_nm,effective_charge_distance_nm,maximum_allowed_noise_floor_pA
100.0,10.0,0.1,0.8,10.0,0.004462764347759155
100.0,10.0,0.1,3.0,0.5,1013.6839379566926
100.0,10.0,0.1,3.0,1.0,858.0649282954911
100.0,10.0,0.1,3.0,2.0,614.8303876289729
100.0,10.0,0.1,3.0,5.0,226.18345941616778
100.0,10.0,0.1,3.0,10.0,42.72053724911389
100.0,10.0,0.1,9.6,0.5,1136.7513390056438
100.0,10.0,0.1,9.6,1.0,1079.0609350489342
100.0,10.0,0.1,9.6,2.0,972.3149461289329
100.0,10.0,0.1,9.6,5.0,711.3608108463394
100.0,10.0,0.1,9.6,10.0,422.5663336922905
100.0,100.0,0.01,0.8,0.5,33.29713373234017
100.0,100.0,0.01,0.8,1.0,17.82267136716025
100.0,100.0,0.01,0.8,2.0,5.106280839554175
100.0,100.0,0.01,0.8,5.0,0.1200882150540439
100.0,100.0,0.01,0.8,10.0,0.00023182479146328174
100.0,100.0,0.01,3.0,0.5,52.657287997849416
100.0,100.0,0.01,3.0,1.0,44.5734319724814
100.0,100.0,0.01,3.0,2.0,31.938259628013736
100.0,100.0,0.01,3.0,5.0,11.749429103942129
100.0,100.0,0.01,3.0,10.0,2.219180505004264
100.0,100.0,0.01,9.6,0.5,59.05020332138127
100.0,100.0,0.01,9.6,1.0,56.0533912953526
100.0,100.0,0.01,9.6,2.0,50.50831548749671
100.0,100.0,0.01,9.6,5.0,36.95267300242031
100.0,100.0,0.01,9.6,10.0,21.950823425576385
100.0,100.0,0.03,0.8,0.5,99.8914011970205
100.0,100.0,0.03,0.8,1.0,53.46801410148076
100.0,100.0,0.03,0.8,2.0,15.318842518662525
100.0,100.0,0.03,0.8,5.0,0.36026464516213175
100.0,100.0,0.03,0.8,10.0,0.0006954743743898452
100.0,100.0,0.03,3.0,0.5,157.97186399354823
100.0,100.0,0.03,3.0,1.0,133.7202959174442
100.0,100.0,0.03,3.0,2.0,95.81477888404119
100.0,100.0,0.03,3.0,5.0,35.24828731182639
100.0,100.0,0.03,3.0,10.0,6.65754151501279
100.0,100.0,0.03,9.6,0.5,177.1506099641438
100.0,100.0,0.03,9.6,1.0,168.16017388605778
100.0,100.0,0.03,9.6,2.0,151.5249464624901
100.0,100.0,0.03,9.6,5.0,110.85801900726094
100.0,100.0,0.03,9.6,10.0,65.85247027672915
100.0,100.0,0.1,0.8,0.5,332.97133732340166
100.0,100.0,0.1,0.8,1.0,178.22671367160257
100.0,100.0,0.1,0.8,2.0,51.062808395541765
100.0,100.0,0.1,0.8,5.0,1.2008821505404392
100.0,100.0,0.1,0.8,10.0,0.0023182479146328172
100.0,100.0,0.1,3.0,0.5,526.5728799784943
100.0,100.0,0.1,3.0,1.0,445.734319724814
100.0,100.0,0.1,3.0,2.0,319.38259628013736
100.0,100.0,0.1,3.0,5.0,117.49429103942128
100.0,100.0,0.1,3.0,10.0,22.191805050042635
100.0,100.0,0.1,9.6,0.5,590.5020332138128
100.0,100.0,0.1,9.6,1.0,560.533912953526
100.0,100.0,0.1,9.6,2.0,505.0831548749672
100.0,100.0,0.1,9.6,5.0,369.52673002420306
100.0,100.0,0.1,9.6,10.0,219.50823425576385
1000.0,1.0,0.01,0.8,0.5,71.3603295834813
1000.0,1.0,0.01,0.8,1.0,38.19643195244016
1000.0,1.0,0.01,0.8,2.0,10.943460977317942
1000.0,1.0,0.01,0.8,5.0,0.2573655340497164
1000.0,1.0,0.01,0.8,10.0,0.0004968323597287284
1000.0,1.0,0.01,3.0,0.5,112.85179849727372
1000.0,1.0,0.01,3.0,1.0,95.52698504898026
1000.0,1.0,0.01,3.0,2.0,68.4480757923086
1000.0,1.0,0.01,3.0,5.0,25.180639871735014
1000.0,1.0,0.01,3.0,10.0,4.756008535609497
1000.0,1.0,0.01,9.6,0.5,126.55269384020924
1000.0,1.0,0.01,9.6,1.0,120.13011417926266
1000.0,1.0,0.01,9.6,2.0,108.24625533438982
1000.0,1.0,0.01,9.6,5.0,79.19465217758838
1000.0,1.0,0.01,9.6,10.0,47.04362864592557
1000.0,1.0,0.03,0.8,0.5,214.0809887504439
1000.0,1.0,0.03,0.8,1.0,114.58929585732047
1000.0,1.0,0.03,0.8,2.0,32.83038293195383
1000.0,1.0,0.03,0.8,5.0,0.7720966021491493
1000.0,1.0,0.03,0.8,10.0,0.0014904970791861849
1000.0,1.0,0.03,3.0,0.5,338.5553954918211
1000.0,1.0,0.03,3.0,1.0,286.5809551469408
1000.0,1.0,0.03,3.0,2.0,205.34422737692577
1000.0,1.0,0.03,3.0,5.0,75.54191961520505
1000.0,1.0,0.03,3.0,10.0,14.268025606828488
1000.0,1.0,0.03,9.6,0.5,379.6580815206277
1000.0,1.0,0.03,9.6,1.0,360.390342537788
1000.0,1.0,0.03,9.6,2.0,324.7387660031695
1000.0,1.0,0.03,9.6,5.0,237.58395653276517
1000.0,1.0,0.03,9.6,10.0,141.13088593777672
1000.0,1.0,0.1,0.8,0.5,713.603295834813
1000.0,1.0,0.1,0.8,1.0,381.9643195244016
1000.0,1.0,0.1,0.8,2.0,109.43460977317945
1000.0,1.0,0.1,0.8,5.0,2.573655340497164
1000.0,1.0,0.1,0.8,10.0,0.004968323597287284
1000.0,1.0,0.1,3.0,0.5,1128.5179849727374
1000.0,1.0,0.1,3.0,1.0,955.2698504898027
1000.0,1.0,0.1,3.0,2.0,684.480757923086
1000.0,1.0,0.1,3.0,5.0,251.80639871735013
1000.0,1.0,0.1,3.0,10.0,47.56008535609496
1000.0,1.0,0.1,9.6,0.5,1265.5269384020928
1000.0,1.0,0.1,9.6,1.0,1201.3011417926268
1000.0,1.0,0.1,9.6,2.0,1082.4625533438982
1000.0,1.0,0.1,9.6,5.0,791.9465217758839
1000.0,1.0,0.1,9.6,10.0,470.43628645925577
1000.0,10.0,0.01,0.8,0.5,70.63291409391465
1000.0,10.0,0.01,0.8,1.0,37.80707449836786
1000.0,10.0,0.01,0.8,2.0,10.831908199032961
1000.0,10.0,0.01,0.8,5.0,0.25474206416047845
1000.0,10.0,0.01,0.8,10.0,0.0004917678714297801
1000.0,10.0,0.01,3.0,0.5,111.7014374110579
1000.0,10.0,0.01,3.0,1.0,94.55322541247324
1000.0,10.0,0.01,3.0,2.0,67.75034652377838
1000.0,10.0,0.01,3.0,5.0,24.923959618339154
1000.0,10.0,0.01,3.0,10.0,4.707527898012856
1000.0,10.0,0.01,9.6,0.5,125.26267191509938
1000.0,10.0,0.01,9.6,1.0,118.90556117723119
1000.0,10.0,0.01,9.6,2.0,107.14284110862297
1000.0,10.0,0.01,9.6,5.0,78.38737708481531
1000.0,10.0,0.01,9.6,10.0,46.56408680016609
1000.0,10.0,0.03,0.8,0.5,211.89874228174392
1000.0,10.0,0.03,0.8,1.0,113.42122349510359
1000.0,10.0,0.03,0.8,2.0,32.49572459709888
1000.0,10.0,0.03,0.8,5.0,0.7642261924814353
1000.0,10.0,0.03,0.8,10.0,0.0014753036142893402
1000.0,10.0,0.03,3.0,0.5,335.10431223317363
1000.0,10.0,0.03,3.0,1.0,283.6596762374197
1000.0,10.0,0.03,3.0,2.0,203.2510395713351
1000.0,10.0,0.03,3.0,5.0,74.77187885501746
1000.0,10.0,0.03,3.0,10.0,14.122583694038564
1000.0,10.0,0.03,9.6,0.5,375.7880157452982
1000.0,10.0,0.03,9.6,1.0,356.7166835316936
1000.0,10.0,0.03,9.6,2.0,321.4285233258689
1000.0,10.0,0.03,9.6,5.0,235.16213125444594
1000.0,10.0,0.03,9.6,10.0,139.69226040049824
1000.0,10.0,0.1,0.8,0.5,706.3291409391464
1000.0,10.0,0.1,0.8,1.0,378.07074498367865
1000.0,10.0,0.1,0.8,2.0,108.31908199032961
1000.0,10.0,0.1,0.8,5.0,2.5474206416047847
1000.0,10.0,0.1,0.8,10.0,0.0049176787142978014
1000.0,10.0,0.1,3.0,0.5,1117.014374110579
1000.0,10.0,0.1,3.0,1.0,945.5322541247326
1000.0,10.0,0.1,3.0,2.0,677.5034652377836
1000.0,10.0,0.1,3.0,5.0,249.23959618339154
1000.0,10.0,0.1,3.0,10.0,47.07527898012856
1000.0,10.0,0.1,9.6,0.5,1252.6267191509944
1000.0,10.0,0.1,9.6,1.0,1189.0556117723122
1000.0,10.0,0.1,9.6,2.0,1071.4284110862297
1000.0,10.0,0.1,9.6,5.0,783.8737708481531
1000.0,10.0,0.1,9.6,10.0,465.6408680016609
1000.0,100.0,0.01,0.8,0.5,64.09895178393485
1000.0,100.0,0.01,0.8,1.0,34.30969649843883
1000.0,100.0,0.01,0.8,2.0,9.829892625619996
1000.0,100.0,0.01,0.8,5.0,0.23117691656118913
1000.0,100.0,0.01,0.8,10.0,0.0004462764347759156
1000.0,100.0,0.01,3.0,0.5,101.36839379566925
1000.0,100.0,0.01,3.0,1.0,85.8064928295491
1000.0,100.0,0.01,3.0,2.0,61.48303876289728
1000.0,100.0,0.01,3.0,5.0,22.618345941616774
1000.0,100.0,0.01,3.0,10.0,4.272053724911388
1000.0,100.0,0.01,9.6,0.5,113.67513390056433
1000.0,100.0,0.01,9.6,1.0,107.9060935048934
1000.0,100.0,0.01,9.6,2.0,97.2314946128933
1000.0,100.0,0.01,9.6,5.0,71.13608108463394
1000.0,100.0,0.01,9.6,10.0,42.25663336922906
1000.0,100.0,0.03,0.8,0.5,192.29685535180448
1000.0,100.0,0.03,0.8,1.0,102.9290894953165
1000.0,100.0,0.03,0.8,2.0,29.489677876859982
1000.0,100.0,0.03,0.8,5.0,0.6935307496835673
1000.0,100.0,0.03,0.8,10.0,0.0013388293043277465
1000.0,100.0,0.03,3.0,0.5,304.1051813870077
1000.0,100.0,0.03,3.0,1.0,257.4194784886473
1000.0,100.0,0.03,3.0,2.0,184.4491162886918
1000.0,100.0,0.03,3.0,5.0,67.85503782485033
1000.0,100.0,0.03,3.0,10.0,12.816161174734164
1000.0,100.0,0.03,9.6,0.5,341.02540170169306
1000.0,100.0,0.03,9.6,1.0,323.71828051468026
1000.0,100.0,0.03,9.6,2.0,291.6944838386799
1000.0,100.0,0.03,9.6,5.0,213.40824325390182
1000.0,100.0,0.03,9.6,10.0,126.76990010768716
1000.0,100.0,0.1,0.8,0.5,640.9895178393483
1000.0,100.0,0.1,0.8,1.0,343.09696498438836
1000.0,100.0,0.1,0.8,2.0,98.29892625619995
1000.0,100.0,0.1,0.8,5.0,2.3117691656118913
1000.0,100.0,0.1,0.8,10.0,0.004462764347759155
1000.0,100.0,0.1,3.0,0.5,1013.6839379566926
1000.0,100.0,0.1,3.0,1.0,858.0649282954911
1000.0,100.0,0.1,3.0,2.0,614.8303876289729
1000.0,100.0,0.1,3.0,5.0,226.18345941616778
1000.0,100.0,0.1,3.0,10.0,42.72053724911389
1000.0,100.0,0.1,9.6,0.5,1136.7513390056438
1000.0,100.0,0.1,9.6,1.0,1079.0609350489342
1000.0,100.0,0.1,9.6,2.0,972.3149461289329
1000.0,100.0,0.1,9.6,5.0,711.3608108463394
1000.0,100.0,0.1,9.6,10.0,422.5663336922905
